Item1,Item2
Arroz,Feijão
​Hambúrguer,Sanduíche
​Pizza,Calzone
​Sushi,Sashimi
​Café,Chá
​Cerveja,Chopp
​Vinho,Suco de Uva
​Sorvete,Gelato
​Maçã,Pêra
​Coxinha,Rissole
​Chocolate,Cacau
​Manteiga,Margarina
​Leite,Iogurte
​Bacon,Presunto
​Espetinho,Churrasco
​Leão,Tigre
​Cachorro,Lobo
​Gato,Onça
​Abelha,Vespa
​Aranha,Escorpião
​Cavalo,Zebra
​Jacaré,Crocodilo
​Tartaruga,Jabuti
​Baleia,Golfinho
​Rato,Hamster
​Árvore,Arbusto
​Rio,Lago
​Chuva,Tempestade
​Sol,Lua
​Estrela,Planeta
​Cadeira,Poltrona
​Cama,Sofá
​Copo,Taça
​Garfo,Colher
​Prato,Bandeja
​Janela,Porta
​Espelho,Quadro
​Escova de dente,Fio dental
​Travesseiro,Almofada
​Toalha,Roupão
​Relógio,Cronômetro
​Martelo,Alicate
​Caneta,Lápis
​Caderno,Livro
​Mochila,Mala
​Celular,Tablet
​Computador,Laptop
​Mouse,Teclado
​Fone de ouvido,Caixa de som
​Cinema,Teatro
​Rádio,Podcast
​YouTube,TikTok
​Instagram,Facebook
​Netflix,Disney+
​Wi-Fi,Bluetooth
​Avião,Helicóptero
​Carro,Moto
​Bicicleta,Patins
​Elevador,Escada rolante
​Ônibus,Trem
​Médico,Enfermeiro
​Professor,Aluno
​Ator,Dublador
​Cantor,Compositor
​Cozinheiro,Garçom
​Bombeiro,Policial
​Advogado,Juiz
​Futebol,Futsal
​Vôlei,Basquete
​Natação,Surfe
​Boxe,Muay Thai
​Corrida,Caminhada
​Yoga,Pilates
​Violão,Guitarra
​Piano,Teclado (instrumento)
​Amor,Amizade
​Medo,Fobia
​Mentira,Segredo
​Sonho,Pesadelo
​Praia,Piscina
​Montanha,Deserto
​Escola,Faculdade
​Hospital,Farmácia
​Supermercado,Feira
​Museu,Biblioteca
​Igreja,Templo
​Casamento,Batizado
​Aniversário,Carnaval
​Verão,Inverno
​Manhã,Noite
​Óculos de sol,Óculos de grau
​Meia,Sapato
​Shampoo,Condicionador
​Perfume,Desodorante
​Açúcar,Adoçante
​Sal,Pimenta
​Guardanapo,Papel higiênico
​Cartão de crédito,Dinheiro
​Bateria,Pilha
​Espuma,Bolha
Cultura Pop e Entretenimento
​Batman,Homem-Aranha
​Harry Potter,Percy Jackson
​Star Wars,Star Trek
​Barbie,Polly Pocket
​Mickey Mouse,Pica-Pau
​Pikachu,Agumon
​Superman,Capitão América
​Shrek,Sulley (Monstros S.A.)
​Goku,Naruto
​Mario,Sonic
​James Bond,Sherlock Holmes
​Vingadores,Liga da Justiça
​Oscar,Grammy
​Rock in Rio,Lollapalooza
​Big Brother,A Fazenda
​Ketchup,Maionese
​Mostarda,Mel
​Lasanha,Nhoque
​Pipoca Doce,Pipoca Salgada
​Pastel,Empada
​Pudim,Gelatina
​Brigadeiro,Beijinho
​Pão de Forma,Pão Francês
​Tapioca,Crepioca
​Yakisoba,Miojo
​Água com Gás,Refrigerante
​Limonada,Caipirinha
​Queijo Minas,Queijo Prato
​Presunto,Mortadela
​Açaí,Sorbet
​Hotel,Pousada
​Hostel,Airbnb
​Navio,Cruzeiro
​Passaporte,RG
​Mala de Rodinha,Mochilão
​Mapa,GPS
​Estação de Trem,Aeroporto
​Cachoeira,Riacho
​Ilha,Península
​Neve,Geada
​São Paulo,Rio de Janeiro
​Disney,Beto Carrero
​Safari,Zoológico
​Floresta,Selva
​Campo,Fazenda
​E-mail,WhatsApp
​Reunião,Palestra
​Agenda,Calendário
​Grampeador,Clips
​Impressora,Scanner
​Post-it,Marca-texto
​Calculadora,Excel
​Crachá,Uniforme
​Chefe,Estagiário
​Salário,Bônus
​Currículo,LinkedIn
​Férias,Feriado
​Home Office,Coworking
​Cafézinho,Água do bebedouro
​Caneca,Garrafa Térmica
​Play Station,Xbox
​iPhone,Android
​Spotify,YouTube Music
​Kindle,Tablet
​Mousepad,Descanso de pulso
​Selfie,Foto 3x4
​Hashtag,Arroba (@)
​Filtro,Photoshop
​Podcast,Audiobook
​Nuvem,Pen Drive
​Calça Jeans,Calça de Moletom
​Camiseta,Regata
​Tênis,Sapato Social
​Chinelo,Sandália
​Boné,Chapéu
​Cachecol,Gravata
​Jaqueta,Sobretudo
​Pijama,Camisola
​Biquíni,Maiô
​Cinto,Suspensório
​Vírus,Bactéria
​Remédio,Vitamina
​Injeção,Vacina
​Curativo,Atadura
​Termômetro,Estetoscópio
​Dentista,Oculista
​DNA,Impressão Digital
​Cérebro,Coração
​Sangue,Plasma
​Oxigênio,Ar Comprimido
​Preguiça,Cansaço
​Raiva,Ciúme
​Coragem,Arrogância
​Sorte,Destino
​Inteligência,Sabedoria
​Sorriso,Risada
​Choro,Soluço
​Silêncio,Barulho
​Futuro,Passado
​Verdade,Fato
​Mickey Mouse,Pernalonga
​Darth Vader,Voldemort
​Elsa,Cinderela
​Hulk,Shrek
​Marvel,DC
​Jedi,Ninja
​Pirata,Viking
​Zumbi,Vampiro
​Fantasma,Esqueleto
​Aeroporto,Rodoviária
​Estádio,Ginásio
​Padaria,Confeitaria
​Açougue,Peixaria
​Banco,Lotérica
​Shopping,Galeria
​Parque,Praça
​Fazenda,Sítio
​Caverna,Túnel
​Cozinha,Banheiro
​Quarto,Sala
​Garagem,Quintal
​Varanda,Terraço
​Coxinha,Quibe
​Purê,Sopa
​Pipoca,Salgadinho
​Melancia,Melão
​Limonada,Laranjada
​Vodka,Cachaça
​Whisky,Rum
​Champagne,Espumante
​Bolo,Torta
​Parafuso,Prego
​Chave de fenda,Chave inglesa
​Furadeira,Britadeira
​Régua,Fita métrica
​Tesoura,Estilete
​Cola bastão,Cola branca
​Carimbo,Selo
​Pasta,Envelope
​Borracha,Corretivo
​Calculadora,Ábaco
​Mapa,Globo
​Lanterna,Lâmpada
​Vela,Isqueiro
​Pilha,Carregador
​Tênis,Ping-pong
​Patinete,Skate
​Mergulho,Snorkel
​Escalada,Rapel
​Trilha,Acampamento
​Baralho,Dominó
​Xadrez,Damas
​Videogame,Tabuleiro
​Quebra-cabeça,Lego
​Pescaria,Caça
​Dança,Ginástica
​Balé,Sapateado
​Circo,Parque de diversão
​Piscina,Ofurô
​Sauna,Hidromassagem
​Calça,Bermuda
​Saia,Vestido
​Gravata,Lenço
​Chapéu,Boné
​Bota,Tênis
​Anel,Aliança
​Colar,Pulseira
​Brinco,Piercing
​Luva,Touca
​Passado,Futuro
​Verdade,Mentira
​Trabalho,Emprego
​Dinheiro,Riqueza
​Fama,Poder
​Guerra,Paz
​Velocidade,Aceleração
Zeus,Júpiter
​Pirâmide,Esfinge
​Cavaleiro,Samurai
​Castelo,Palácio
​Rei,Imperador
​Grécia,Roma
​Egito,Mesopotâmia
​Arqueólogo,Historiador
​Estátua,Monumento
​Coroa,Trono
​DNA,Célula
​Pulmão,Brânquia
​Sangue,Seiva
​Osso,Músculo
​Microscópio,Telescópio
​Laboratório,Oficina
​Vacina,Remédio
​Química,Física
​Átomo,Molécula
​Robô,Inteligência Artificial
​Gravidade,Magnetismo
​Órbita,Trajetória
​Cometa,Asteroide
​Diretor,Produtor
​Roteiro,Livro
​Ator,Dublê
​Terror,Suspense
​Comédia,Sátira
​Documentário,Reportagem
​Novela,Série
​Comercial,Trailer
​Pipoca,Nachos
​Legendado,Dublado
​Estúdio,Cenário
​Claquete,Câmera
​Herói,Vilão
​Figurino,Maquiagem
​Saxofone,Trompete
​Flauta,Clarinete
​Violoncelo,Contrabaixo
​Harpa,Lira
​Tambor,Bateria
​Rock,Metal
​Samba,Pagode
​Rap,Hip Hop
​Maestro,Regente
​Partitura,Letra
​Estrofe,Refrão
​Show,Festival
​Microfone,Megafone
​Vinil,CD
​Spotify,Deezer
​Neve,Granizo
​Geada,Orvalho
​Furacão,Tornado
​Vulcão,Terremoto
​Deserto,Savana
​Selva,Floresta
​Pantanal,Mangue
​Oceano,Mar
​Cachoeira,Corredeira
​Bússola,GPS
​Mapa,Carta náutica
​Altitude,Latitude
​Polo Norte,Antártida
​Equador,Meridiano
​Tsunami,Ressaca
​Coca-Cola,Pepsi
​McDonald's,Burger King
​Adidas,Nike
​Apple,Samsung
​Visa,Mastercard
​Ferrari,Lamborghini
​Uber,99
​Shopee,AliExpress
​Mercado Livre,Amazon
​Rolex,Casio
​Boneca,Urso de pelúcia
​Carrinho,Autorama
​Ioiô,Pião
​Pipa,Balão
​Esconde-esconde,Pega-pega
​Amarelinha,Pula-corda
​Giz de cera,Canetinha
​Massinha,Slime
​Fralda,Chupeta
​Berço,Carrinho de bebê
​Alho,Cebola
​Vinagre,Azeite
​Esponja,Bombril
